sep=;
Differential evolution:
;Solution found;Solution value;;0;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100;4200;4300;4400;4500;4600;4700;4800;4900;5000;5100;5200;5300;5400;5500;5600;5700;5800;5900;6000
Run 1;[-1.1104713785293871E-17, -6.653401634172029E-17];4.44089E-16;;21.7059;5.80836E-09;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16
Run 2;[-2.8609850639703665E-16, 1.5944869203683057E-16];4.44089E-16;;8.71577;2.63366E-08;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16
Run 3;[3.5285656784642073E-16, 8.786199653758481E-17];4.44089E-16;;16.6827;2.21134E-08;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16
Run 4;[-4.159639507509742E-18, -1.6865797673429836E-16];4.44089E-16;;12.0251;8.20579E-09;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16
Run 5;[1.6886320115566324E-16, -1.8347031789893593E-16];4.44089E-16;;16.4469;4.47232E-08;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16;4.44089E-16


Particle swarm optimization:
;Solution found;Solution value;;0;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100;4200;4300;4400;4500;4600;4700;4800;4900;5000;5100;5200;5300;5400;5500;5600;5700;5800;5900;6000
Run 1;[-3.520120859220728E-16, 6.841986494358615E-17];4.44089E-16;;2.99740;1.13753;1.13753;1.13753;1.13753;1.13753;1.13753;1.13753;1.13753;1.13753;1.13753;1.13753;1.13753;1.13753;1.13753;1.13753;1.13753;0.0166273;0.000763101;5.76000E-05;5.07894E-07;3.21258E-09;8.47540E-11;1.90536E-11;8.92619E-14;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15;3.99680E-15
