sep=;
Differential evolution:
;Solution found;Solution value;;0;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100;4200;4300;4400;4500;4600;4700;4800;4900;5000;5100;5200;5300;5400;5500;5600;5700;5800;5900;6000;6100;6200;6300;6400;6500;6600;6700;6800;6900;7000;7100;7200;7300;7400;7500;7600;7700;7800;7900;8000;8100;8200;8300;8400;8500;8600;8700;8800;8900;9000;9100;9200;9300;9400;9500;9600;9700;9800;9900;10000;10100;10200;10300;10400;10500;10600;10700;10800;10900;11000;11100;11200;11300;11400;11500;11600;11700;11800;11900;12000;12100;12200;12300;12400;12500;12600;12700;12800;12900;13000;13100;13200;13300;13400;13500;13600;13700;13800;13900;14000;14100;14200;14300;14400;14500;14600;14700;14800;14900;15000;15100;15200;15300;15400;15500;15600;15700;15800;15900;16000;16100;16200;16300;16400;16500;16600;16700;16800;16900;17000;17100;17200;17300;17400;17500;17600;17700;17800;17900;18000;18100;18200;18300;18400;18500;18600;18700;18800;18900;19000;19100;19200;19300;19400;19500;19600;19700;19800;19900;20000;20100;20200;20300;20400;20500;20600;20700;20800;20900;21000;21100;21200;21300;21400;21500;21600;21700;21800;21900;22000;22100;22200;22300;22400;22500;22600;22700;22800;22900;23000;23100;23200;23300;23400;23500;23600;23700;23800;23900;24000;24100;24200;24300;24400;24500;24600;24700;24800;24900;25000;25100;25200;25300;25400;25500;25600;25700;25800;25900;26000;26100;26200;26300;26400;26500;26600;26700;26800;26900;27000;27100;27200;27300;27400;27500;27600;27700;27800;27900;28000;28100;28200;28300;28400;28500;28600;28700;28800;28900;29000;29100;29200;29300;29400;29500;29600;29700;29800;29900;30000
Run 1;[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.00000;;4.57818E+07;595596;5668.03;4070.11;1344.10;243.880;32.5573;11.2175;5.62225;2.16960;0.658645;0.172837;0.0574913;0.0138252;0.00185905;0.000408628;0.000139279;2.54383E-05;2.47929E-06;9.06217E-07;3.17549E-07;7.94988E-08;9.80246E-09;2.29691E-09;2.83038E-10;1.21966E-10;3.75526E-11;4.45589E-12;1.33468E-12;2.40605E-13;6.81555E-14;1.57437E-14;2.19410E-15;5.82159E-16;2.09184E-16;4.71382E-17;5.75606E-18;1.31202E-18;5.54574E-19;7.01111E-20;1.19503E-20;6.10299E-21;1.16153E-21;2.84478E-22;2.66059E-23;1.57630E-23;5.87511E-24;9.83431E-25;2.47196E-25;3.90996E-26;9.83030E-27;1.27024E-27;4.12439E-28;7.05168E-29;4.33011E-29;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
Run 2;[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.00000;;1.61642E+06;111308;5213.28;578.557;55.6323;11.6030;7.27494;3.76830;1.52836;0.346185;0.0568881;0.0280519;0.00155987;0.000635842;0.000139705;2.77756E-05;8.82966E-06;1.23936E-06;3.14128E-07;6.26741E-08;1.30626E-08;4.49419E-09;5.87696E-10;1.13826E-10;3.92708E-11;9.42682E-12;1.57932E-12;1.16234E-13;9.25545E-14;1.03608E-14;3.71171E-15;1.13331E-15;1.22243E-16;5.17964E-17;1.52928E-17;1.34830E-18;4.64603E-19;6.85759E-20;2.56212E-20;5.84474E-21;8.73544E-22;1.62644E-22;4.97779E-23;1.17859E-23;3.16110E-24;5.51839E-25;1.01388E-25;2.57309E-26;5.70031E-27;1.37856E-27;1.29077E-28;8.79826E-29;9.87309E-30;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
Run 3;[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.00000;;2.14581E+06;91134.2;4314.71;437.283;105.907;21.5187;10.0891;4.39395;1.11519;0.664537;0.0731428;0.0281241;0.00681141;0.000857965;0.000133617;4.34445E-05;1.08171E-05;2.17868E-06;2.76441E-07;3.35223E-08;1.05294E-08;3.23550E-09;5.33216E-10;1.33020E-10;1.92186E-11;2.47167E-12;2.08455E-12;3.63097E-13;9.45209E-14;1.30659E-14;2.51961E-15;5.91529E-16;2.07054E-16;4.70856E-17;8.06902E-18;2.22049E-18;2.99250E-19;1.18868E-19;1.31458E-20;3.52866E-21;6.74802E-22;1.06008E-22;2.53807E-23;1.06534E-23;2.30589E-24;1.77941E-25;5.85148E-26;1.91269E-26;4.45499E-27;6.05660E-28;1.79269E-28;1.49514E-29;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
Run 4;[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.00000;;2.93771E+06;33938.2;12479.4;809.098;134.834;17.3127;8.82215;3.97189;1.12710;0.249336;0.0631320;0.00986123;0.00358682;0.00116424;0.000218847;2.84211E-05;4.80258E-06;1.08325E-06;2.32667E-07;7.55490E-08;1.23556E-08;2.19793E-09;3.47880E-10;5.40942E-11;2.36489E-11;3.27993E-12;2.62944E-13;8.97002E-14;1.88426E-14;4.71623E-15;1.51332E-15;1.89616E-16;5.73803E-17;1.35833E-17;1.89664E-18;8.21056E-19;1.75838E-19;2.03640E-20;8.61333E-21;1.22402E-21;5.03965E-22;1.09689E-22;7.93667E-24;4.26586E-24;7.00520E-25;1.09980E-25;3.16402E-26;3.12508E-27;1.66244E-27;5.23335E-28;1.08456E-28;1.99187E-29;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
Run 5;[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.00000;;1.14506E+06;30069.9;2523.40;775.382;91.1793;10.3895;7.31242;4.50575;2.38071;0.582665;0.148394;0.0200119;0.00417757;0.00151505;0.000281394;5.71946E-05;4.99856E-06;1.39473E-06;2.73344E-07;5.36588E-08;1.18552E-08;6.66017E-10;2.83848E-10;6.05803E-11;1.80882E-11;2.83228E-12;2.63988E-13;1.10049E-13;1.21231E-14;2.75936E-15;8.21302E-16;1.88699E-16;6.11346E-17;7.75885E-18;1.27388E-18;3.18314E-19;6.95987E-20;6.60264E-21;3.81747E-21;8.30615E-22;1.13932E-22;4.64241E-23;1.22674E-23;1.16212E-24;7.06212E-25;1.53993E-25;1.48635E-26;9.07619E-27;1.32425E-27;3.26354E-28;7.58786E-29;2.00297E-29;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000


Particle swarm optimization:
;Solution found;Solution value;;0;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100;4200;4300;4400;4500;4600;4700;4800;4900;5000;5100;5200;5300;5400;5500;5600;5700;5800;5900;6000;6100;6200;6300;6400;6500;6600;6700;6800;6900;7000;7100;7200;7300;7400;7500;7600;7700;7800;7900;8000;8100;8200;8300;8400;8500;8600;8700;8800;8900;9000;9100;9200;9300;9400;9500;9600;9700;9800;9900;10000;10100;10200;10300;10400;10500;10600;10700;10800;10900;11000;11100;11200;11300;11400;11500;11600;11700;11800;11900;12000;12100;12200;12300;12400;12500;12600;12700;12800;12900;13000;13100;13200;13300;13400;13500;13600;13700;13800;13900;14000;14100;14200;14300;14400;14500;14600;14700;14800;14900;15000;15100;15200;15300;15400;15500;15600;15700;15800;15900;16000;16100;16200;16300;16400;16500;16600;16700;16800;16900;17000;17100;17200;17300;17400;17500;17600;17700;17800;17900;18000;18100;18200;18300;18400;18500;18600;18700;18800;18900;19000;19100;19200;19300;19400;19500;19600;19700;19800;19900;20000;20100;20200;20300;20400;20500;20600;20700;20800;20900;21000;21100;21200;21300;21400;21500;21600;21700;21800;21900;22000;22100;22200;22300;22400;22500;22600;22700;22800;22900;23000;23100;23200;23300;23400;23500;23600;23700;23800;23900;24000;24100;24200;24300;24400;24500;24600;24700;24800;24900;25000;25100;25200;25300;25400;25500;25600;25700;25800;25900;26000;26100;26200;26300;26400;26500;26600;26700;26800;26900;27000;27100;27200;27300;27400;27500;27600;27700;27800;27900;28000;28100;28200;28300;28400;28500;28600;28700;28800;28900;29000;29100;29200;29300;29400;29500;29600;29700;29800;29900;30000
Run 1;[0.9993703988458924, 0.9988470913295597, 0.9975921976277401, 0.994990299426254, 0.9901259471845546, 0.9812328034423837, 0.9631340933699034, 0.9278458397695907, 0.8604697855569454, 0.7398302328571897];0.0266685;;218111;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;66130.2;16911.9;16911.9;16911.9;16911.9;1170.99;446.272;434.356;434.356;434.356;434.356;153.613;28.5511;28.5511;25.6177;5.60588;4.87978;4.66757;4.07035;3.95586;3.93353;3.89037;3.83582;3.79444;3.64094;3.59915;3.50369;3.42366;3.36716;3.31576;3.22819;3.13138;3.05706;2.97895;2.85344;2.80566;2.69098;2.61923;2.50443;2.41844;2.33966;2.22351;2.21564;2.15180;2.11021;2.07627;2.05296;2.00256;1.92942;1.91437;1.82448;1.73256;1.62128;1.53826;1.49144;1.33703;1.28354;1.19012;1.16998;1.07369;1.04212;1.02976;1.02413;0.962151;0.919231;0.890757;0.840613;0.829695;0.790529;0.780569;0.703373;0.679970;0.659100;0.639627;0.600718;0.579486;0.556605;0.542242;0.533723;0.485632;0.456480;0.444594;0.435415;0.411715;0.403448;0.394647;0.383557;0.377230;0.359140;0.348285;0.343851;0.341324;0.334408;0.322424;0.315868;0.312758;0.307334;0.299538;0.289572;0.281804;0.273589;0.264955;0.261659;0.248367;0.239799;0.238240;0.236208;0.231080;0.225591;0.219611;0.219221;0.218672;0.217421;0.215577;0.214155;0.205416;0.199593;0.195171;0.193049;0.190139;0.185691;0.170687;0.157904;0.152389;0.151083;0.150646;0.146456;0.137298;0.133482;0.131238;0.123390;0.121372;0.121277;0.118167;0.115144;0.111846;0.109173;0.104249;0.102233;0.100202;0.0981778;0.0969262;0.0966157;0.0928007;0.0892455;0.0877225;0.0840148;0.0810452;0.0778367;0.0745827;0.0729208;0.0700254;0.0681809;0.0674031;0.0653412;0.0644841;0.0623117;0.0586780;0.0567989;0.0551964;0.0537170;0.0522216;0.0513288;0.0505602;0.0500804;0.0500059;0.0498729;0.0491906;0.0488982;0.0488175;0.0481936;0.0462329;0.0444576;0.0438434;0.0436354;0.0430742;0.0418241;0.0412906;0.0410944;0.0403045;0.0392347;0.0383558;0.0370940;0.0366460;0.0365777;0.0365130;0.0364976;0.0362601;0.0361790;0.0356868;0.0345761;0.0337201;0.0327448;0.0323408;0.0311270;0.0306148;0.0302254;0.0296499;0.0290928;0.0284273;0.0276045;0.0271798;0.0266686
